,Class Index,Description
145,6,How many hostages were killed in the Entebbe raid ?
146,2,How you can raise your IQ ?
147,1,What does INRI stand for when used on Jesus ' cross ?
148,4,Who produces Spumante ?
149,4,Who earns their money the hard way ?
150,4,Who founded the People 's Temple Commune ?
151,4,What athlete makes the most money from sports merchandise sales ?
152,6,How many bends are there in a standard paper clip ?
153,4,Who discovered electricity ?
154,3,What part of your body contains the corpus callosum ?
155,4,Who was the first American in space ?
156,5,What two South American countries do n't border Brazil ?
157,3,What album put The Beatles on the cover of Time in 1967 ?
158,3,"What poem contains the line , `` grow old with me the best is yet to be '' ."
159,2,What is a dental root canal ?
160,3,What war did the Wanna-Go-Home Riots occur after ?
161,6,What is the busiest air travel season ?
162,3,What 's the colored part of the eye called ?
163,2,What are hook worms ?
164,5,Where is the Rose Bowl played ?
165,4,Which Japanese car maker had its biggest percentage of sale in the domestic market ?
166,4,Who is the mayor of Marbella ?
167,5,"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?"
168,6,In what year did Thatcher become prime minister ?
169,6,How many months does it take the moon to revolve around the Earth ?
170,5,Where are the 49 steps ?
171,6,In what year was De Gaulle elected president of France ?
172,4,Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?
173,4,Who directed `` Jaws '' ?
174,3,On what T.V. show could Tom Terrific be found ?
175,4,What Indian tribe is F Troop perpetually doing battle with ?
176,2,Where did Indian Pudding come from ?
177,2,Why do some clothing labels say `` Use a nonchlorine bleach '' ?
178,6,How many colonies were involved in the American Revolution ?
179,5,What is the name of the city that Maurizio Pellegrin lives in ?
180,5,Where can I find pictorial directions on how to build a very simple treehouse ?
181,3,"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?"
182,4,What is the name of the managing director of Apricot Computer ?
183,4,What is the occupation of Nicholas Cage ?
184,2,Why do horseshoes bring luck ?
185,2,"What is the 401 , K , plan ?"
186,2,What causes pneumonia ?
187,6,What are the three winter months in the southern hemisphere ?
188,2,What does gringo mean ?
189,5,What country contains Africa 's northernmost point ?
190,3,What therapy attempts to elicit the `` primal scream '' ?
191,5,Where is the Kalahari desert ?
192,4,Which Ventura County police department seized the largest cocaine shipment in it 's history ?
193,5,What city is sometimes called Gotham ?
194,3,What dangles over the tongue from the palate ?
195,4,Who created Dennis the Menace ?
196,4,What dummy received an honorary degree from Northwestern University ?
197,6,When was the first Wall Street Journal published ?
198,5,What countries have the largest areas of forest ?
199,2,How do I start a web based business ?
200,4,Name Alvin 's brothers
201,2,What is Eagle 's syndrome styloid process ?
202,2,How did Jayne Mansfield die ?
203,6,When did the royal wedding of Prince Andrew and Fergie take place ?
204,4,What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?
205,4,What explorer was nicknamed Iberia 's Pilot ?
206,6,CNN began broadcasting in what year ?
207,3,What is a ball that hits the foul pole called ?
208,2,What makes hamburgers taste like steakburgers ?
209,4,Which company created the Internet browser Mosaic ?
210,3,What are the rites accompanying the circumcision of a newly born-child in Judaism called ?
211,3,What was the education system in the 1960 's ?
212,5,What South American city has the world 's highest commercial landing field ?
213,2,How can I find out which cities have cable-modem access ?
214,2,What is Betsy Ross famous for ?
215,6,How many species of sharks are there ?
216,2,What is `` snoogans '' ?
217,6,How many people are there in the world ?
218,3,What shrubs can be planted that will be safe from deer ?
219,4,What organization 's offices were broken into at Watergate in 1972 ?
220,2,What is the design of the ship Titanic ?
221,1,What does S.O.S. stand for ?
222,3,Name a technique widely used to detect birth defects ?
223,2,What is the daily requirement of folic acid for an expectant mother ?
224,2,What is the `` 7-minute cigarette '' ?
225,3,What four forms does gold occur in ?
226,6,What is the acreage of the Chappellet vineyard ?
227,2,How do you correctly say the word ` qigong ' ?
228,6,When did beethoven die ?
229,6,How much does a new railroad coal car cost ?
230,5,What two European countries entered the War of American Independence against the British ?
231,2,What is the filmmakers collabrative ?
232,4,What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?
233,2,What caused Harry Houdini 's death ?
234,4,"Who was the mother of the man who would not be king , the duke of Windsor ?"
235,6,How many revolutions does a standard LP make in three minutes ?
236,5,What is the name of the tallest mountain in the world ?
237,5,Where can I find a review of Nightmare on Elm Street in a film journal ?
238,3,What 's the slowest Olympic swimming stroke ?
239,4,What was the name of the first Russian astronaut to do a spacewalk ?
240,3,What disease is transmitted by the Anopheles mosquito ?
241,3,What rum is so `` mixable '' it is a one-brand bar ?
242,6,How many South American countries have the letter Z in their names ?
243,2,What is the contents of proposition 98 ?
244,5,Where was George Washington born ?
245,6,"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD ."
246,4,Who wrote NN DT NNP NNP '' ?
247,2,What is paracetamol ?
248,2,What are the powers and weaknesses of Green Lantern 's ring ?
249,3,"Which mosquito 's bite draws blood , DT NN CC DT NN ."
250,6,When was the first steel mill in the United States built ?
251,4,What diminutive American female gymnast stole the show at the 1984 Olympics ?
252,2,What is the origin of the name Katie ?
253,4,"What schools in the Washington , DC NN NN VBP NN NN NN NN ."
254,6,When did the Berlin Wall go up ?
255,4,Who is Terrence Malick ?
256,3,What instrument is Ray Charles best known for playing ?
257,2,"What 's the meaning of the Latin battle cry : Ad arma , ad arma ."
258,3,What is the mascot for Notre Dame University ?
259,5,"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?"
260,6,When did Mount St. Helen last have a significant eruption ?
261,1,CNN is the abbreviation for what ?
262,6,When did World War I start ?
263,6,How many feet are there in a fathom ?
264,2,What is a Canada two-penny black ?
265,5,What European city do Nicois live in ?
266,2,How can I find out what year a Beanie Baby was introduced ?
267,2,What is the classic definition of tragic hero ?
268,3,To what does Microsoft 's Windows 3 owe its success ?
269,4,Who was President of Afghanistan in 1994 ?
270,3,"What are other ways of getting stretch marks besides pregnancy , weight loss , and weight lifting ?"
271,3,What did brontosauruses eat ?
272,3,What color bottles do good Rhine wines come in ?
273,4,Who was the lead actress in the movie ` Sleepless in Seattle ' ?
274,4,Who was the 16th President of the United States ?
275,4,Who are the two sons of Ozzie and Harriet Nelson ?
276,2,What is molybdenum ?
277,6,When is Boxing Day ?
278,3,What is the lowest level of the American judiciary ?
279,6,When was the battle of the Somme fought ?
280,6,How many people did Randy Craft kill ?
281,3,What 's the official animal of Canada ?
282,6,When did Spielberg direct `` Jaws '' ?
283,6,What is the size of the largest akita ?
284,3,What animal has the biggest eyes ?
285,5,What is California 's capital ?
286,4,Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?
287,4,Who was the founding member of the Pink Floyd band ?
288,5,What European country is home to the beer-producing city of Budweis ?
289,2,How do I find the balance of my social security account ?
290,2,What is the history of Valentine 's Day cards ?
291,5,Where was Christopher Columbus born ?
292,3,What do Italians call Florence ?
293,2,How do you get to the top of the Eiffel Tower ?
294,1,What does ` PSI ' stand for ?
295,5,What sea did the Romans call mare nostrum ?
296,3,What 's the term for a bet before cards are dealt ?
297,3,"Which came first , according to Genesis 1 : 2 : 22 - the chicken or the egg ?"
298,5,What city did the Flintstones live in ?
299,3,What is Latin for incompetent ?
300,3,What chemicals are used in lethal injection ?
301,4,What toy company is the world 's No.1 maker of female apparel ?
302,3,What board game does a `` wood-pusher '' play poorly ?
303,4,Which Doonesbury character was likely to turn into a werewolf ?
304,1,What is the abbreviation for micro ?
305,3,What are the 7 articles of the constitution ?
306,4,Who has won the most Super Bowls ?
307,1,What does NASDAQ stand for ?
308,1,What is BPH ?
309,3,What is the fastest commercial automobile that can be bought in the US ?
310,5,What stadium do the Miami Dolphins play their home games in ?
311,4,Who has the only speaking role in `` Silent Movie '' ?
312,2,Why is poop sometimes different colors ?
313,6,What was Einstein 's IQ ?
314,6,What day was Pearl Harbor attacked in 1942 ?
315,4,What girl 's name is `` Teddy '' an affectionate form of ?
316,5,What state is John F. Kennedy buried in ?
317,3,What is the best way to remove wallpaper ?
318,5,What U.S. state has an element named for it ?
319,4,What company tabulates the ballots in voting for the Academy Awards ?
320,2,How did the tradition of best man start ?
321,6,How many years ago did the ship Titanic sink ?
322,5,What is the deepest area of the Arctic Ocean ?
323,3,What are Halloween 's colors ?
324,2,How is silk screening done ?
325,6,"What is the latitude and longitude of El Paso , Texas ?"
326,4,Who made a boat out of gopher wood ?
327,5,Where can I find a `` Fifth Element '' screensaver ?
328,4,Which Bloom County resident wreaks havoc with a computer ?
329,2,How do you match a name to a social security number ?
330,2,How does a rainbow form ?
331,6,What is the normal resting heart rate of a healthy adult ?
332,6,What is the population of Ohio ?
333,6,How many calories are there in a Big Mac ?
334,2,Hazmat stands for what ?
335,3,What creature scares people in the film `` Jaws '' ?
336,4,What part did John Peter Zenger play in the deveopment of the newspaper in America ?
337,4,Who followed Caesar ?
338,3,What are the four elements ?
339,4,Who was the first woman golfer to earn a million ?
340,3,What 's the tallest piece on a chessboard ?
341,5,What is Answers.com 's address ?
342,5,Where can I buy movies on videotape online ?
343,4,Who does the advertizing for Frito-Lay ?
344,4,Who is the leading competitor of Trans Union Company ?
345,3,What product did Robert Conrad dare people to knock off his shoulder ?
346,4,Who invented the radio ?
347,6,What 's the American dollar equivalent for 8 pounds in the U.K. ?
348,3,What are the different approaches of systems analysis ?
349,2,How do doctors diagnose bone cancer ?
350,4,Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?
351,6,What is the speed of the Mississippi River ?
352,3,What are the developmental stages of a swimmer ?
353,4,What actor first portrayed James Bond ?
354,5,What ocean is the largest in the world ?
355,4,"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?"
356,6,What year did Jack Nicklaus join the Professional Golfers Association tour ?
357,6,How many sonnets did Shakespeare write ?
358,2,What causes the redness in your cheeks when you blush ?
359,4,Who won the Nobel Peace Prize in 1991 ?
360,4,Who are the Challengers of the Unknown ?
361,2,Define the Pheonix Club ?
362,5,Which city did Christian Crusaders fight to recapture from the Muslims ?
363,2,What does it mean `` Rupee Depreciates '' ?
364,3,What gaming devices were dubbed `` Mississippi marbles '' and `` Memphis dominoes '' ?
365,4,Who was the first coach of the Cleveland Browns ?
366,2,How successful is arometherapy ?
367,3,What Jewish holiday saw the start of the 1973 Mideast War ?
368,2,How does a copier work ?
369,6,What is the speed of the Mississippi River ?
370,4,Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?
371,3,What is Dudley Do-Right 's horse 's name ?
372,4,Who declared : `` I am down on whores and I shan 't stop ripping them '' ?
373,5,Where does chocolate come from ?
374,3,What TV game show once saw a contestant admit to picking his toes in the shower ?
375,4,What Soviet leader owned a Rolls-Royce ?
376,5,Where can I find a case on Individuals with Disabilities Education Act of 1991 ?
377,3,What war did Florence Nightingale tend the troops in ?
378,4,"Who wrote the song , `` Stardust '' ?"
379,6,How many Beatles ' records went #1 ?
380,4,Who is the only prime minister of Canada to serve 22 years but not necessarily consecutively ?
381,1,What is the abbreviation of the company name ` General Motors ' ?
382,5,What mountains lie between the Arkansas and Missouri rivers ?
383,4,Who received the Will Rogers Award in 1989 ?
384,2,What is the function of RAM ?
385,5,What 's the closest G2 Spectrum Yellow Dwarf to Earth ?
386,6,How many equal angles are there in an isosceles triangle ?
387,3,What is the fear of cockroaches called ?
388,3,What CBS soap opera was interrupted by the bulletin of John F. Kennedy 's assassination ?
389,2,What is the use of a 24-hour clock instead of a 12-hour clock ?
390,4,What was the name of the lawyer who represented Randy Craft ?
391,4,What United States President had dreamed that he was assassinated ?
392,3,What film did Lee Marvin win the 1965 best actor Oscar for ?
393,5,Where is Basque country located ?
394,3,What product does `` Mrs. Olsen '' promote ?
395,6,What time of day did Emperor Hirohito die ?
396,2,What is dry ice ?
397,3,What 's the most powerful card in Euchre ?
398,2,What does `` intractable plantar keratoma '' mean ?
399,6,How many years did it take James Joyce to write Ulysses ?
400,3,What crop failure caused the Irish Famine ?
401,5,What South Korean city is served by Kimpo International Airport ?
402,6,How many types of dogs ' tails are there - three
403,3,What is the longest-running television series ?
404,3,What predators exist on Antarctica ?
405,2,What is the difference between a generator and an alternator ?
406,2,How is energy created ?
407,3,What beer advertised that it had `` three rings '' ?
408,6,What is the quantity of American soldiers still unaccounted for from the Vietnam war ?
409,3,What golfing accessory was patented by George Grant on December 12
410,3,What are the different types of plastic ?
411,2,How is it correct to say ` qigong ' ?
412,5,What was the highest mountain on earth before Mount Everest was discovered ?
413,5,"Where was the Ligurian Republic , 1797-185 , ?"
414,5,What country 's people are the top television watchers ?
415,6,When was the women 's suffrage amendment ratified ?
416,4,What Polynesian people inhabit New Zealand ?
417,3,What movie tour of the Roman empire features the admonition : `` Row well and live '' ?
418,5,What Nevada center has been dubbed The Biggest Little City in the World ?
419,4,"What President lived at 219 North Delaware Street , Independence , Missouri ?"
420,2,Give a reason for American Indians oftentimes dropping out of school .
421,5,Where must a soccer goalie stand to be permitted to handle the ball ?
422,2,What is the difference between classical conditioning and operant conditioning ?
423,5,In what U.S. state was the first woman governor elected ?
424,2,What are some interesting facts and information about dogsledding ?
425,6,What year did Hitler die ?
426,4,What famous model was married to Billy Joel ?
427,3,What kind of animal is Babar ?
428,2,What is Jane Goodall known for ?
429,3,What killed Bob Marley ?
430,6,How much money are Dumbo 's ears insured for ?
431,4,Who danced into stardom with Fred Astaire in 1941 's You 'll Never Get Rich ?
432,4,Who is Stein Eriksen ?
433,2,What does the name Billie mean ?
434,4,Who is the fastest swimmer in the world ?
435,5,What is the highest peak in Africa ?
436,5,Where is Procter & Gamble headquartered in the U.S. ?
437,5,What desert has been called The Garden of Allah ?
438,3,What do bicornate animals have two of ?
439,2,What function does a community 's water tower serve ?
440,3,What is a fear of weakness ?
441,6,How many miles is it to Ohio from North Carolina ?
442,6,How much snow equals an inch of rain ?
443,1,What does G.M.T. stand for ?
444,2,What does Inuit and Eskimo mean ?
445,3,What song served as the closing theme of The Johnny Cash Show ?
446,3,What field sport did dentist William Beers promote and write a standard book of rules for ?
447,2,How do I tie dye clothes ?
448,6,When does the average teenager first have intercourse ?
449,2,Why doesn 't www.answers.com have any answers to my questions ?
450,4,What actor 's autobiography is titled All My Yesterdays ?
451,4,What Russian master spy lived in the U.S. under the name Emil Goldfus ?
452,5,Where 's the 19th hole on a golf course ?
453,2,What 's nature 's purpose for tornadoes ?
454,4,Who played the original Charlie 's Angels ?
455,5,Where can I find a person 's address from a telephone number ?
456,3,"What English word comes from the Old French covrefeu , meaning cover fire ?"
457,3,What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?
458,5,Where did Sarge Steel get his metal hand ?
459,2,What makes popcorn pop ?
460,4,Who wrote The Night of the Iguana ?
461,3,Where does your hair grow the fastest ?
462,5,What country did King Gustav V reign over from 197 to 195 ?
463,4,Who painted Mother and Child ?
464,6,What is the speed of the Mississippi River ?
465,5,In what area of the world was the Six Day War fought ?
466,5,What is the brightest star visible from Earth ?
467,3,What film marked Robert Redford 's directorial debut ?
468,4,What was Mao 's second name ?
469,3,What film or films has Jude Law appeared in ?
470,5,Where do hyenas live ?
471,4,Who is the `` Queen Mother '' ?
472,3,What 's the most commonly-spoken language in Belgium ?
473,4,Who has more DNA - a man or a woman ?
474,2,What are Maid-Rites ?
475,3,"What children 's tale contains the line : `` Come , Cinderslut , and hold this skein of wool for me '' ?"
476,4,What level of government or governmental agency is responsible for dealing with racism ?
477,6,How many referees work a soccer game ?
478,3,What cocktail do you concoct with whisky and sweet vermouth ?
479,3,How do you say `` fresh '' in Spanish ?
480,2,What do bee hives do in cranberry bogs ?
481,2,What caused the Lynmouth floods ?
482,6,When is the Tulip Festival in Michigan ?
483,4,"Who came up with the name , El Nino ?"
484,3,What movie did Madilyn Kahn star in with Gene Wilder ?
485,3,What type of bridge is the Golden Gate Bridge ?
486,4,What dictator has the nickname `` El Maximo '' ?
487,4,What stereo manufacturer is `` Slightly ahead of its time '' ?
488,5,What U.S. city is The Queen of the Pacific ?
489,4,What TV sitcom character had the maiden name Ethel Potter ?
490,3,What was the first Lifesaver flavor ?
491,4,Who kept the most famous diary in the English language ?
492,5,Where can I find out the top 1 singles ?
493,6,How many degrees cooler is the inside of a cucumber than the air outside ?
494,4,What Spanish artist painted Crucifixion ?
495,3,What is the Jewish bible called ?
496,2,Why is the grass green ?
497,2,What is a firewall ?
498,4,What spy novelist served as Moscow correspondent for Reuter and The Times of London ?
499,4,Which oil company almost picked a word that meant `` stalled car '' in Japanese as its new international name ?
500,6,How long does it take for Spider-Man 's web to evaporate ?
501,4,Who was Randy Steven Craft 's lawyer ?
502,5,What was known as the Spice Island ?
503,4,Who was the first host of Person to Person ?
504,4,Name the Ranger who was always after Yogi Bear .
505,3,"What deck of cards includes the Wheel of Fortune , the Lovers , and Death ?"
506,3,What does the Statue of Liberty wear on her feet ?
507,4,Who is the superstar in rent-a-cars ?
508,5,McCarren Airport is located in what city ?
509,3,"What household facility contains a float ball , ballcock , and overflow tube ?"
510,3,What was the name of Betty Boop 's dog ?
511,6,What fraction of a beaver 's life is spent swimming ?
512,3,What was the Bridge of San Luis Rey made of ?
513,2,What do economists do ?
514,5,What country has the largest sheep population ?
515,2,"What do I need to do to take my dog with me to live in Dominica , West Indies for a year ?"
516,5,What country is the world 's largest importer of cognac ?
517,6,How many years is Johnnie Walker Black Label aged ?
518,1,What does SIDS stand for ?
519,3,What is Grenada 's main commodity export ?
520,6,"How much would a black-and-white 1-cent stamp be worth , Thomas Jefferson on it , ?"
521,2,What makes a clitoris sensitive ?
522,5,"What country has the most time zones , with 11 ?"
523,3,What `` magic '' does Mandrake employ ?
524,4,Who is the president of Stanford University ?
525,4,Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?
526,3,"What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?"
527,5,What city is Logan Airport in ?
528,2,What is a nanometer ?
529,6,How many innings are there in a regulation softball game ?
530,6,When did CNN go on the air ?
531,5,What is the largest city on the Great Lakes ?
532,6,What is the telephone number for the University of Kentucky ?
533,4,Who invented baseball ?
534,6,How many wives did Brigham Young have ?
535,3,What product on the market is good for hiding facial scars ?
536,6,How long is the Coney Island boardwalk ?
537,5,What city gained renown for its pea-soup fogs ?
538,2,What does `` Janelle '' mean ?
539,2,How do I get another city 's newspaper ?
540,3,Name a movie about the Sioux Indians starring Kevin Costner .
541,4,"Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?"
542,2,What are the distinct physical characterstics of the Arabian horse ?
543,3,What is a fear of thunder ?
544,3,What animal has killed the most people ?
545,6,How many colleges are in Wyoming ?
546,5,What Russian seaport has a name meaning `` Lord of the East '' ?
547,5,Where can stocks be traded on-line ?
548,6,When was the Battle of Hastings ?
549,3,What kind of file has the extension .dbf ?
550,6,When did Muhammad live ?
551,3,"What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?"
552,2,What is a wop ?
553,2,Where do rocks come from ?
554,2,How do I stop background noise in a car stereo ?
555,5,Where do people mountain climb in Nepal ?
556,4,What is the best college in the country ?
557,2,What is viscosity ?
558,3,What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?
559,5,What are the Nordic nations ?
560,5,Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?
561,5,What U.S. state borders Illinois to the north ?
562,3,Name a film in which Jude Law acted .
563,6,What is the temperature for baking Peachy Oat Muffins ?
564,3,What is a fear of bees ?
565,3,What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?
566,2,What is a green bog ?
567,5,Where did the myth of Santa Claus originate ?
568,3,What does a chairbound basophobic fear ?
569,5,What city is served by Logan International Airport ?
570,4,What wrestling star became `` The Incredible Hulk '' ?
571,5,What attracts tourists to Reims ?
572,3,What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?
573,3,What fastener did Whitcomb Judson patent in 1893 ?
574,2,What 's an auberge in France ?
575,4,Who was the star of the 1965 Broadway hit Golden Boy ?
576,5,Where is Procter & Gamble based in the U.S. ?
577,4,What army was founded by William Booth and his wife Catherine ?
578,3,What does ribavirin consist of ?
579,3,Name the soft drink that is `` number one in the sun . ''
580,5,What is the web address of the list of e-mail addresses of members of the House of Representatives ?
581,4,What was her real name ?
582,2,Why are the ears your center of balance ?
583,4,Who invented the toothbrush ?
584,3,What was the name of that popular song the Creeps sang ?
585,5,Where is the Abominable Snowman said to wander ?
586,3,What is a fear of being alone ?
587,6,How many dots make up the symbol for `` because '' ?
588,3,What do you get by adding Lactobacillus bulgaricus to milk ?
589,1,"When reading classified ads , what does EENTY : other stand for ?"
590,6,How many hearts does an octopus have ?
591,3,What plant has the largest seed ?
592,5,What was the only country you were allowed to drive into Israel from in 1979 ?
593,3,What 's approaching when a cyclist shouts : `` Oil '' ?
594,4,"What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?"
595,3,What kind of sport is often associated with hooligans ?
596,4,What video game hero do some of his fans call Chomper ?
597,6,How many holes are there in a tenpin bowling ball ?
598,3,What is the longest word in the English language ?
599,5,In What city or state do the most gay men live in ?
600,4,"What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?"
601,3,What is `` the bear of beers '' ?
602,3,Name the operating system that runs on IBM-compatible machines .
603,2,What does the name `` Justin '' mean ?
604,6,What percentage of the body is muscle ?
605,3,What color of dry wine should be served with veal roasts and chops ?
606,3,What is a golf ball made of ?
607,2,What is the Amish religion ?
